Id,中文,英文
Id,zh-cn,en
cardName_1,普通攻击,Basic Attack
cardDesc_1,造成1点伤害,Deal 1 damage.
cardName_2,普通攻击,Basic Attack
cardDesc_2,造成2点伤害,Deal 2 damage.
cardLevelUpDesc_2,造成<color=#8adf6a>2</color>点伤害,Deal 2 damage.
cardName_3,普通攻击,Basic Attack
cardDesc_3,造成3点伤害,Deal 3 damage.
cardLevelUpDesc_3,造成<color=#8adf6a>3</color>点伤害,Deal 3 damage.
cardDescEx_3,Image/Reward/baozang,Image/Reward/baozang
cardName_4,普通攻击,Basic Attack
cardDesc_4,造成4点伤害,Deal 4 damage.
cardLevelUpDesc_4,造成<color=#8adf6a>4</color>点伤害,Deal 4 damage.
cardName_5,粉碎,Crush
cardDesc_5,造成10点伤害,Deal 10 damage.
cardName_6,舍命相搏,Dual Destinies
cardDesc_6,对敌方造成10点伤害\n对自己造成4点\n穿刺伤害,Deal 10 damage to the enemy and 4 piercing damage to yourself.
cardName_7,怒火攻击,Fires of Rage
cardDesc_7,造成2点伤害，自己\n每损失5点生命，伤害+1,Deal 2 damage + 1 for every 5 health you've lost.
cardDescEx_7,造成{0}点伤害\n（每损失5点生命伤害+1）,Deal {0} damage (+ 1 for every 5 health you've lost).
cardName_8,怒火攻击,Fires of Rage
cardDesc_8,造成4点伤害，自己\n每损失5点生命，伤害+1,Deal 4 damage + 1 for every 5 health you've lost.
cardLevelUpDesc_8,造成<color=#8adf6a>4</color>点伤害，自己\n每损失5点生命，伤害+1,Deal <color=#8adf6a>4</color> damage + 1 for every 5 health you've lost.
cardDescEx_8,造成{0}点伤害\n（每损失5点生命伤害+1）,Deal {0} damage (+ 1 for every 5 health you've lost).
cardName_9,怒火攻击,Fires of Rage
cardDesc_9,造成6点伤害，自己\n每损失5点生命，伤害+1,Deal 6 damage + 1 for every 5 health you've lost.
cardLevelUpDesc_9,造成<color=#8adf6a>6</color>点伤害，自己\n每损失5点生命，伤害+1,Deal <color=#8adf6a>6</color> damage + 1 for every 5 health you've lost.
cardDescEx_9,造成{0}点伤害\n（每损失5点生命伤害+1）,Deal {0} damage (+ 1 for every 5 health you've lost).
cardName_10,火焰攻击,Burning Strike
cardDesc_10,造成6点火属性伤害,Deal 6 fire damage.
cardName_11,灵魂打击,Soul Strike
cardDesc_11,造成2点伤害\n如果这张牌杀死敌方\n自己永久获得2点生命,"Deal?2 damage. If this card kills the enemy, you permanently gain 2 health."
cardName_12,灵魂打击,Soul Strike
cardDesc_12,造成4点伤害\n如果这张牌杀死敌方\n自己永久获得2点生命,"Deal?4 damage. If this card kills the enemy, you permanently gain 2 health."
cardLevelUpDesc_12,造成<color=#8adf6a>4</color>点伤害\n如果这张牌杀死敌方\n自己永久获得2点生命,"Deal?<color=#8adf6a>4</color> damage. If this card kills the enemy, you permanently gain 2 health."
cardName_13,灵魂打击,Soul Strike
cardDesc_13,造成6点伤害\n如果这张牌杀死敌方\n自己永久获得2点生命,"Deal 6 damage. If this card kills the enemy, you permanently gain 2 health."
cardLevelUpDesc_13,造成<color=#8adf6a>6</color>点伤害\n如果这张牌杀死敌方\n自己永久获得2点生命,"Deal <color=#8adf6a>6</color> damage. If this card kills the enemy, you permanently gain 2 health."
cardName_14,缠绕攻击,Binding Strike
cardDesc_14,<color=#e6c14f>移除</color>\n造成2点伤害\n敌方下回合只能使用\n同样类型的牌,"<color=#e6c14f>Exiled</color>,deal 2 damage. Next turn enemy can't use cards with different types."
cardName_15,缠绕攻击,Binding Strike
cardDesc_15,<color=#e6c14f>移除</color>\n造成4点伤害\n敌方下回合只能使用\n同样类型的牌,"<color=#e6c14f>Exiled</color>,deal 4 damage. Next turn enemy can't use cards with different types."
cardName_16,缠绕攻击,Binding Strike
cardDesc_16,<color=#e6c14f>移除</color>\n造成6点伤害\n敌方下回合只能使用\n同样类型的牌,"<color=#e6c14f>Exiled</color>,deal 6 damage. Next turn enemy can't use cards with different types."
cardName_17,风暴攻击,Storm Strike
cardDesc_17,造成2点雷属性伤害\n自己本回合造成伤害+1\n直到下个回合受到伤害+1,Deal 2 lightning damage. You deal 1 additional damage this turn. You take 1 additional damage until next turn.
cardName_18,风暴攻击,Storm Strike
cardDesc_18,造成4点雷属性伤害\n自己本回合造成伤害+1\n直到下个回合受到伤害+1,Deal 4 lightning damage. You deal 1 additional damage this turn. You take 1 additional damage until next turn.
cardLevelUpDesc_18,造成<color=#8adf6a>4</color>点雷属性伤害\n自己本回合造成伤害+1\n直到下个回合受到伤害+1,Deal <color=#8adf6a>4</color> lightning damage. You deal 1 additional damage this turn. You take 1 additional damage until next turn.
cardName_19,风暴攻击,Storm Strike
cardDesc_19,造成6点雷属性伤害\n自己本回合造成伤害+1\n直到下个回合受到伤害+1,Deal 6 lightning damage. You deal 1 additional damage this turn. You take 1 additional damage until next turn.
cardLevelUpDesc_19,造成<color=#8adf6a>6</color>点雷属性伤害\n自己本回合造成伤害+1\n直到下个回合受到伤害+1,Deal <color=#8adf6a>6</color> lightning damage. You deal 1 additional damage this turn. You take 1 additional damage until next turn.
cardName_20,雷击,Lightning Strike
cardDesc_20,造成2点雷属性伤害\n重复3次,Deal 2 lightning damage. Repeats 3 times.
cardName_21,穿刺攻击,Piercing Attack
cardDesc_21,造成1点穿刺伤害\n自己每有4点护甲\n额外增加1点穿刺伤害,Deal 1 piercing damage. You deal 1 additional piercing damage for each 4 points of Armor you have
cardName_22,穿刺攻击,Piercing Attack
cardDesc_22,造成3点穿刺伤害\n自己每有4点护甲\n额外增加1点穿刺伤害,Deal 3 piercing damage. You deal 1 additional piercing damage for each 4 points of Armor you have
cardLevelUpDesc_22,造成<color=#8adf6a>3</color>点穿刺伤害\n自己每有4点护甲\n额外增加1点穿刺伤害,Deal <color=#8adf6a>3</color> piercing damage. You deal 1 additional piercing damage for each 4 points of Armor you have
cardName_23,穿刺攻击,Piercing Attack
cardDesc_23,造成5点穿刺伤害\n自己每有4点护甲\n额外增加1点穿刺伤害,Deal 5 piercing damage. You deal 1 additional piercing damage for each 4 points of Armor you have
cardLevelUpDesc_23,造成<color=#8adf6a>5</color>点穿刺伤害\n自己每有4点护甲\n额外增加1点穿刺伤害,Deal <color=#8adf6a>5</color> piercing damage. You deal 1 additional piercing damage for each 4 points of Armor you have
cardName_24,神圣攻击,Divine Strike
cardDesc_24,造成2点伤害\n恢复等量生命,Deal 2 damage and restore same amount of health.
cardName_25,神圣攻击,Divine Strike
cardDesc_25,造成4点伤害\n恢复等量生命,Deal 4 damage and restore same amount of health.
cardLevelUpDesc_25,造成<color=#8adf6a>4</color>点伤害\n恢复等量生命,Deal <color=#8adf6a>4</color> damage and restore same amount of health.
cardName_26,神圣攻击,Divine Strike
cardDesc_26,造成6点伤害\n恢复等量生命,Deal 6 damage and restore same amount of health.
cardLevelUpDesc_26,造成<color=#8adf6a>6</color>点伤害\n恢复等量生命,Deal <color=#8adf6a>6</color> damage and restore same amount of health.
cardName_27,痛苦打击,Painful Strike
cardDesc_27,造成2点伤害\n获得2点法力,Deal 2 damage. Gain 2 mana.
cardName_28,痛苦打击,Painful Strike
cardDesc_28,造成4点伤害\n获得4点法力,Deal 4 damage. Gain 4 mana.
cardLevelUpDesc_28,造成<color=#8adf6a>4</color>点伤害\n获得<color=#8adf6a>4</color>点法力,Deal <color=#8adf6a>4</color> damage. Gain <color=#8adf6a>4</color> mana.
cardName_29,痛苦打击,Painful Strike
cardDesc_29,造成6点伤害\n获得6点法力,Deal 6 damage. Gain 6 mana.
cardLevelUpDesc_29,造成<color=#8adf6a>6</color>点伤害\n获得<color=#8adf6a>6</color>点法力,Deal <color=#8adf6a>6</color> damage. Gain <color=#8adf6a>6</color> mana.
cardName_30,感染,Infection
cardDesc_30,敌方获得<color=#e6c14f>中毒</color>*1,Enemy suffers <color=#e6c14f>Poisoned</color> ×1.
cardName_31,感染,Infection
cardDesc_31,敌方获得<color=#e6c14f>中毒</color>*2,Enemy suffers <color=#e6c14f>Poisoned</color> ×2.
cardLevelUpDesc_31,敌方获得<color=#e6c14f>中毒</color>*<color=#8adf6a>2</color>,Enemy suffers <color=#e6c14f>Poisoned</color> ×<color=#8adf6a>2</color>.
cardName_32,感染,Infection
cardDesc_32,敌方获得<color=#e6c14f>中毒</color>*3,Enemy suffers <color=#e6c14f>Poisoned</color> ×3.
cardLevelUpDesc_32,敌方获得<color=#e6c14f>中毒</color>*<color=#8adf6a>3</color>,Enemy suffers <color=#e6c14f>Poisoned</color> ×<color=#8adf6a>3</color>.
cardName_33,迅捷攻击,Swift Strike
cardDesc_33,造成1点伤害\n抽1张牌,Deal 1 damage. Draw 1 card.
cardName_34,迅捷攻击,Swift Strike
cardDesc_34,造成3点伤害\n抽1张牌,Deal 3 damage. Draw 1 card.
cardLevelUpDesc_34,造成<color=#8adf6a>3</color>点伤害\n抽1张牌,Deal <color=#8adf6a>3</color> damage. Draw 1 card.
cardName_35,二次打击,Double Strike
cardDesc_35,造成2点伤害\n抽2张牌,Deal 2 damage. Draw 2 cards.
cardName_36,头骨破裂,Skull Splitter
cardDesc_36,<color=#e6c14f>移除</color>最左边的手牌\n对敌方造成5点伤害,<color=#e6c14f>Exile</color> the leftmost card from your hand. Deal 5 damage.
cardName_37,蓄力一击,Charged Strike
cardDesc_37,若本回合没有使用过行动\n牌，对敌方造成8伤害，\n自己失去所有行动力,"If you haven't used any action cards yet this turn, deal 8 damage. You lose all your Action."
cardName_38,背刺,Back Stab
cardDesc_38,造成2点伤害\n本回合每使用1张行动牌\n此牌伤害+1,"Deal 2 damage. Each time you use an action card this turn, its damage increases by 1."
